Team_1,Team_2,Team_1_Score,Team_2_Score
Milwaukee,IUPUI,72,69
Central Conn. St.,St. Francis Brooklyn,48,53
LIU,Merrimack,59,76
Marshall,App State,66,58
N.C. A&T,UNCW,63,87
UNC Greensboro,Mercer,69,49
Purdue Fort Wayne,Oakland,82,73
UT Martin,SIUE,75,89
Michigan,Northwestern,68,51
Central Ark.,FGCU,91,87
Col. of Charleston,Drexel,69,70
Tennessee Tech,Morehead St.,45,64
Fla. Atlantic,UAB,77,86
Wagner,Sacred Heart,56,65
Towson,Hofstra,72,76
Wisconsin,Ohio St.,65,60
William & Mary,Hampton,57,62
VMI,The Citadel,75,69
Saint Francis (PA),Stonehill,61,74
High Point,UNC Asheville,63,89
Wright St.,Youngstown St.,89,91
North Florida,Jacksonville,76,63
North Ala.,Stetson,57,79
Rice,Louisiana Tech,72,80
Delaware,Monmouth,62,70
Regent,UMES,41,89
Cleveland St.,Detroit Mercy,67,85
James Madison,Old Dominion,78,73
Southern Miss.,Troy,74,65
Elon,Stony Brook,69,55
FIU,Charlotte,57,54
Northern Ky.,Robert Morris,65,52
Ga. Southern,Georgia St.,60,64
Kennesaw St.,Bellarmine,90,84
Jacksonville St.,Eastern Ky.,67,69
Coastal Carolina,ULM,70,83
Stanford,Utah,78,72
St. Thomas (MN),Omaha,89,83
North Dakota,South Dakota St.,73,96
Northwestern St.,Houston Christian,94,76
Liberty,Austin Peay,82,70
Eastern Ill.,Lindenwood,67,80
Queens (NC),Lipscomb,60,66
UTSA,Western Ky.,74,81
South Alabama,Arkansas St.,82,62
Little Rock,Southeast Mo. St.,98,99
A&M-Corpus Christi,New Orleans,86,69
North Dakota St.,South Dakota,62,71
Oregon St.,Arizona St.,57,68
Tennessee St.,Southern Ind.,80,76
UIW,Southeastern La.,67,77
Lamar University,McNeese,70,63
Texas St.,Louisiana,63,82
Washington,UCLA,61,70
Utah Valley,Utah Tech,76,69
LMU (CA),BYU,61,89
Hawaii,UC Davis,63,75
UTEP,Middle Tenn.,72,84
Houston,Wichita St.,70,61
Western Ill.,Denver,44,74
Northern Colo.,Montana,67,69
Northern Ariz.,Montana St.,68,69
Eastern Wash.,Sacramento St.,82,63
Long Beach St.,Cal St. Fullerton,70,67
Idaho,Portland St.,66,69
Pepperdine,Pacific,73,81
California,Colorado,46,59
UC Riverside,CSU Bakersfield,76,82
Portland,San Diego,80,61
Cal Poly,UC Santa Barbara,62,68
UC Irvine,UC San Diego,76,60
Oregon,Arizona,76,91
Washington St.,Southern California,70,80
Santa Clara,Gonzaga,70,88
San Francisco,Saint Mary's (CA),59,68
